,Unnamed: 0,titre,type,reference,departement,date,lien,departement nb,Categorie
0,0,"CAIOM Tremplin-Directeur adjoint DCL, chef du bureau de l'urbanisme et des affaires juridiques",Fonction publique de l'État,MINT_057ATK0003-77635,Moselle (57),2024-01-19,https://choisirleservicepublic.gouv.fr/offre-emploi/caiom-tremplin-directeur-adjoint-dcl-chef-du-bureau-de-l-urbanisme-et-des-affaires-juridiques-reference-MINT_057ATK0003-77635/,57.0,A+
1,1,DIRECTEUR TERRITORIAL AUBE/HAUTE-MARNE H/F,Fonction publique de l'État,2024-1451879,Aube (10),2024-01-19,https://choisirleservicepublic.gouv.fr/offre-emploi/directeur-territorial-aubehaute-marne-hf-reference-2024-1451879/,10.0,A+
2,2,Conservateur du patrimoine (h/f) - COMMUNE DE COLMAR,Fonction publique Territoriale,O068240101324231,Haut Rhin (68),2024-01-19,https://choisirleservicepublic.gouv.fr/offre-emploi/conservateur-du-patrimoine-hf---commune-de-colmar-reference-O068240101324231/,68.0,A+
3,3,"Conseiller de recteur, adjoint à la DRAIO de la région académique Grand Est - académie de Reims",Fonction publique de l'État,2024-1450858,Marne (51),2024-01-18,https://choisirleservicepublic.gouv.fr/offre-emploi/conseiller-de-recteur-adjoint-a-la-draio-de-la-region-academique-grand-est---academie-de-reims-reference-2024-1450858/,51.0,A+
4,4,Chargé(e) de mission lutte contre les violences /le séparatisme dans le sport au SDJES de la Moselle H/F,Fonction publique de l'État,2024-1449578,Moselle (57),2024-01-18,https://choisirleservicepublic.gouv.fr/offre-emploi/chargee-de-mission-lutte-contre-les-violences-le-separatisme-dans-le-sport-au-sdjes-de-la-moselle-hf-reference-2024-1449578/,57.0,A+
5,5,Chargé(e) de mission lutte contre les violences / le séparatisme dans le sport au SDJES de la Marne H/F,Fonction publique de l'État,2024-1449574,Marne (51),2024-01-18,https://choisirleservicepublic.gouv.fr/offre-emploi/chargee-de-mission-lutte-contre-les-violences--le-separatisme-dans-le-sport-au-sdjes-de-la-marne-hf-reference-2024-1449574/,51.0,A+
6,6,CHEF D'ETABLISSEMENT PENITENTIAIRE H/F,Fonction publique de l'État,2024-1449377,Bas Rhin (67),2024-01-17,https://choisirleservicepublic.gouv.fr/offre-emploi/chef-d-etablissement-penitentiaire-hf-reference-2024-1449377/,67.0,A+
7,7,RESPONSABLE DE CONSERVATION ET DE RESTAURATION DES PATRIMOINES A LA CRMH (RIFSEEP3) H/F,Fonction publique de l'État,2023-1419383,Marne (51),2024-01-17,https://choisirleservicepublic.gouv.fr/offre-emploi/-responsable-de-conservation-et-de-restauration-des-patrimoines-a-la-crmh-rifseep3-hf-reference-2023-1419383/,51.0,A+
8,8,Conservateur chargé des publics et de la médiation H/F,Fonction publique de l'État,2023-1396724,Haut Rhin (68),2024-01-17,https://choisirleservicepublic.gouv.fr/offre-emploi/conservateur-charge-des-publics-et-de-la-mediation-hf-reference-2023-1396724/,68.0,A+
9,9,"AENESR, Directrice ou directeur du Clous de Metz (F/H)",Fonction publique de l'État,2023-1419265,Moselle (57),2024-01-16,https://choisirleservicepublic.gouv.fr/offre-emploi/aenesr-directrice-ou-directeur-du-clous-de-metz-fh-reference-2023-1419265/,57.0,A+
10,10,MASSEUR-KINESITHERAPEUTE (H/F) H/F,Fonction publique Hospitalière,2024-1448138,Grand Est,2024-01-16,https://choisirleservicepublic.gouv.fr/offre-emploi/masseur-kinesitherapeute-hf-hf-reference-2024-1448138/,,A+
11,11,SAGE-FEMME (H/F) H/F,Fonction publique Hospitalière,2024-1448115,Grand Est,2024-01-16,https://choisirleservicepublic.gouv.fr/offre-emploi/sage-femme-hf-hf-reference-2024-1448115/,,A+
12,12,Adjoint(e) au chef du Service des Politiques Routières,Fonction publique de l'État,2023-1323020,Meurthe et Moselle (54),2024-01-16,https://choisirleservicepublic.gouv.fr/offre-emploi/adjointe-au-chef-du-service-des-politiques-routieres-reference-2023-1323020/,54.0,A+
13,13,ADJOINT(E) AU RESPONSABLE DU SERVICE SYSTÈMES ET RÉSEAUX,Fonction publique de l'État,2023-1288059,Meurthe et Moselle (54),2024-01-16,https://choisirleservicepublic.gouv.fr/offre-emploi/adjointe-au-responsable-du-service-systmes-et-rseaux-reference-2023-1288059/,54.0,A+
14,14,Directeur des Archives départementales de la Marne H/F,Fonction publique de l'État,2024-1445685,Marne (51),2024-01-13,https://choisirleservicepublic.gouv.fr/offre-emploi/directeur-des-archives-departementales-de-la-marne-hf-reference-2024-1445685/,51.0,A+
15,15,Responsable des finances et des admissions H/F,Fonction publique Hospitalière,2024-1445632,Meuse (55),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/responsable-des-finances-et-des-admissions-hf-reference-2024-1445632/,55.0,A+
16,16,Directeur général adjoint Pôle Développement territorial et attractivité  - DEPARTEMENT DE LA MEUSE,Fonction publique Territoriale,O055240101319016,Meuse (55),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/directeur-general-adjoint-pole-developpement-territorial-et-attractivite----departement-de-la-meuse-reference-O055240101319016/,55.0,A+
17,17,Directeur-rice de la direction architecture et patrimoine - EUROMETROPOLE DE STRASBOURG,Fonction publique Territoriale,O067240101319786,Bas Rhin (67),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/directeur-rice-de-la-direction-architecture-et-patrimoine---eurometropole-de-strasbourg-reference-O067240101319786/,67.0,A+
18,18,Conservateur.trice responsable de la médiathèque Jean Falala - REIMS,Fonction publique Territoriale,O051240101319844,Marne (51),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/conservateurtrice-responsable-de-la-mediatheque-jean-falala---reims-reference-O051240101319844/,51.0,A+
19,19,Cadre supérieur de santé ou cadre de santé faisant fonction de cadre supérieur de santé H/F,Fonction publique Hospitalière,2024-1444372,Moselle (57),2024-01-11,https://choisirleservicepublic.gouv.fr/offre-emploi/cadre-superieur-de-sante-ou-cadre-de-sante-faisant-fonction-de-cadre-superieur-de-sante-hf-reference-2024-1444372/,57.0,A+
20,20,"Médecin responsable départemental, conseiller technique auprès de la DSDEN du Bas-Rhin",Fonction publique de l'État,2023-1249217,Bas Rhin (67),2024-01-10,https://choisirleservicepublic.gouv.fr/offre-emploi/medecin-responsable-departemental-conseiller-technique-aupres-de-la-dsden-du-bas-rhin-reference-2023-1249217/,67.0,A+
21,21,Bioinformaticien(ne),Fonction publique Hospitalière,2024-1441752,Bas Rhin (67),2024-01-09,https://choisirleservicepublic.gouv.fr/offre-emploi/bioinformaticienne-reference-2024-1441752/,67.0,A+
22,22,Comptable public - Service de gestion comptable de l'Eurométropole et Ville de STRASBOURG H/F,Fonction publique de l'État,MEF_2023-13222,Bas Rhin (67),2024-01-09,https://choisirleservicepublic.gouv.fr/offre-emploi/comptable-public---service-de-gestion-comptable-de-l-eurometropole-et-ville-de-strasbourg-hf-reference-MEF_2023-13222/,67.0,A+
23,23,Chef de Projet H/F - REGION GRAND EST,Fonction publique Territoriale,O067240101315601,Marne (51),2024-01-09,https://choisirleservicepublic.gouv.fr/offre-emploi/chef-de-projet-hf---region-grand-est-reference-O067240101315601/,51.0,A+
24,24,Chef de Projet H/F - REGION GRAND EST,Fonction publique Territoriale,O067240101315598,Moselle (57),2024-01-09,https://choisirleservicepublic.gouv.fr/offre-emploi/chef-de-projet-hf---region-grand-est-reference-O067240101315598/,57.0,A+
25,25,Chef de Projet H/F - REGION GRAND EST,Fonction publique Territoriale,O067240101315562,Bas Rhin (67),2024-01-09,https://choisirleservicepublic.gouv.fr/offre-emploi/chef-de-projet-hf---region-grand-est-reference-O067240101315562/,67.0,A+
26,26,AUE -DRAC GRAND EST - UNITE DEPARTEMENTALE DE L'ARCHITECTURE ET H/F,Fonction publique de l'État,2023-1374657,Marne (51),2024-01-05,https://choisirleservicepublic.gouv.fr/offre-emploi/aue--drac-grand-est---unite-departementale-de-l-architecture-et-hf-reference-2023-1374657/,51.0,A+
